district_area_maharashtra,nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,crop_label
Parbhani,1,68,41,28.98,52.84,6.91,767.91,grapes
Osmanabad,112,54,23,34.38,49.05,6.03,401.52,coconut
Osmanabad,37,45,158,32.7,67.33,6.47,615.02,banana
Wardha,46,47,120,29.27,65.91,6.85,284.08,mungbean
Wardha,86,102,41,33.16,80.71,7.04,1157.87,coconut
Jalgaon,56,134,105,21.62,44.11,6.0,988.2,mothbeans
Solapur,124,138,51,24.6,54.73,5.54,486.65,muskmelon
Nanded,116,136,56,25.92,41.36,7.37,408.43,kidneybeans
Kolhapur,18,19,165,30.89,44.56,6.62,1164.6,kidneybeans
Amravati,2,121,179,30.49,82.96,6.55,964.6,coconut
Nagpur,99,76,191,21.75,61.33,7.38,504.21,lentil
Pune,65,126,6,26.72,81.42,6.54,554.65,cotton
Sangli,88,21,136,33.67,88.17,6.86,142.11,apple
Dhule,51,49,68,25.59,54.52,6.64,461.58,mothbeans
Nanded,40,103,57,31.48,63.58,6.81,1051.72,coffee
Ahmednagar,87,63,75,27.06,72.5,6.46,905.38,watermelon
Amravati,101,126,50,23.18,77.02,6.41,567.41,blackgram
Beed,119,134,192,27.16,42.56,6.04,442.77,coffee
Aurangabad,2,137,170,27.81,45.26,6.86,839.23,watermelon
Nashik,128,123,139,33.3,77.07,5.55,518.42,blackgram
Sangli,112,45,12,34.12,73.78,6.0,283.6,mothbeans
Latur,137,125,127,21.34,45.35,6.42,176.36,papaya
Bhandara,67,87,159,24.13,43.21,7.27,1146.08,mungbean
Nanded,109,53,188,32.88,83.91,5.61,641.19,mango
Nashik,1,117,172,33.48,47.58,6.68,118.36,apple
Nanded,72,47,82,24.11,43.09,6.59,599.63,grapes
Osmanabad,11,68,10,25.68,53.95,7.37,932.07,blackgram
Jalgaon,12,85,98,34.23,44.72,6.62,600.8,apple
Beed,129,69,100,29.36,85.04,7.29,480.1,cotton
Wardha,53,39,196,26.21,84.63,6.59,256.91,pigeonpeas
Nagpur,104,127,114,26.21,88.87,6.84,1181.36,grapes
Latur,1,38,21,28.89,46.38,6.42,917.5,kidneybeans
Beed,73,73,192,22.98,52.13,6.48,1166.19,mango
Beed,32,94,89,31.2,87.42,6.85,160.55,lentil
Aurangabad,52,118,128,22.77,76.35,5.53,1096.76,rice
Nagpur,127,68,47,20.79,60.89,6.71,598.68,mungbean
Sangli,134,133,51,25.47,69.4,6.28,1162.19,maize
Wardha,109,70,77,25.89,76.36,5.55,174.72,mango
Jalgaon,104,99,196,20.81,75.39,7.1,126.93,apple
Nagpur,63,88,14,31.61,74.83,7.22,1103.91,jute
Ahmednagar,80,10,185,22.73,79.42,6.87,468.15,grapes
Solapur,36,131,72,21.56,62.17,5.9,1092.62,muskmelon
Ahmednagar,115,145,120,21.32,53.39,7.29,301.99,kidneybeans
Pune,111,119,53,24.05,41.84,6.24,392.34,jute
Wardha,24,94,201,22.71,42.21,7.02,1138.33,coconut
Osmanabad,103,19,156,30.4,54.92,7.39,1173.44,coconut
Bhandara,41,73,54,32.67,64.02,6.26,508.53,lentil
Pune,90,142,166,23.19,49.33,7.27,168.88,pigeonpeas
Nanded,97,95,80,20.31,73.6,7.08,281.17,kidneybeans
Latur,73,130,12,34.09,88.08,6.0,517.0,papaya
Sangli,67,39,188,27.3,52.65,6.03,320.96,blackgram
Osmanabad,126,38,129,30.06,67.25,6.68,882.4,watermelon
Amravati,28,94,28,30.7,75.01,6.35,809.6,jute
Ahmednagar,9,35,88,30.37,78.53,6.88,1073.94,rice
Ahmednagar,90,118,182,20.62,51.01,6.21,424.07,lentil
Aurangabad,47,79,65,31.29,60.51,6.23,590.82,mothbeans
Pune,58,44,44,26.01,89.83,7.44,656.94,kidneybeans
Jalgaon,44,114,202,20.69,62.36,6.53,906.26,chickpea
Aurangabad,62,83,100,27.59,78.55,5.67,1181.68,rice
Amravati,120,46,89,26.72,50.87,6.24,334.42,chickpea
Nagpur,128,91,167,23.0,56.1,6.95,742.9,coffee
Nanded,23,136,196,22.9,54.63,7.34,309.04,maize
Sangli,27,19,7,20.65,77.57,6.97,385.25,jute
Nashik,108,51,126,26.43,62.87,6.84,499.96,chickpea
Jalgaon,30,59,10,24.52,69.8,7.42,832.52,coffee
Osmanabad,119,68,188,24.11,67.69,7.39,374.71,mango
Dhule,47,126,93,33.58,81.3,5.61,1037.29,mango
Wardha,3,8,140,25.69,60.05,6.25,690.37,apple
Latur,73,59,146,22.4,70.6,6.78,720.72,coffee
Parbhani,43,108,205,27.18,51.32,7.34,540.32,banana
Solapur,48,53,187,25.4,67.42,5.96,716.22,pigeonpeas
Nagpur,51,83,194,23.35,83.32,6.35,845.78,watermelon
Latur,29,37,28,27.05,83.07,6.16,777.4,grapes
Pune,85,121,183,32.66,42.45,5.81,706.0,mungbean
Solapur,75,89,106,29.03,87.86,6.41,449.5,mungbean
Amravati,13,56,67,22.54,61.17,6.31,238.58,jute
Sangli,70,8,44,30.33,63.07,7.41,610.48,maize
Osmanabad,112,47,30,23.64,67.44,6.23,679.91,chickpea
Nagpur,60,14,154,34.15,48.73,6.44,271.84,pigeonpeas
Nagpur,65,106,26,28.5,41.66,6.48,843.69,mothbeans
Wardha,59,142,106,31.22,56.28,6.07,1158.05,blackgram
Parbhani,11,15,19,29.44,57.78,7.03,577.54,papaya
Jalgaon,0,133,25,23.68,63.06,6.04,735.19,mango
Wardha,45,109,204,26.97,84.87,5.52,154.61,cotton
Aurangabad,45,54,17,20.72,78.58,5.58,322.69,mungbean
Akola,83,66,166,21.63,58.32,5.57,382.6,mungbean
Sangli,115,63,66,34.5,77.03,7.07,674.94,cotton
Dhule,63,37,103,23.85,67.81,6.54,508.62,pigeonpeas
Nagpur,24,52,148,26.77,40.7,6.7,138.96,grapes
Ahmednagar,58,116,75,23.13,79.01,6.36,159.45,mango
Aurangabad,75,98,201,20.56,59.92,6.08,703.66,mango
Dhule,91,144,94,24.72,43.39,6.59,231.07,mothbeans
Sangli,12,143,64,24.6,65.27,6.78,421.81,grapes
Osmanabad,115,141,74,21.42,67.0,6.27,224.91,chickpea
Aurangabad,45,7,171,21.52,63.57,5.76,917.98,grapes
Jalgaon,12,106,109,23.94,47.44,6.77,791.73,cotton
Pune,56,40,134,22.98,52.51,6.71,961.56,kidneybeans
Nashik,16,62,181,33.4,80.58,6.66,1019.25,pigeonpeas
Nanded,16,17,173,33.11,77.27,5.76,527.81,grapes
Wardha,10,122,12,34.67,72.68,5.59,494.74,rice
Aurangabad,40,37,85,28.54,65.47,5.84,488.43,blackgram
Nanded,58,90,135,23.97,51.28,7.39,674.51,coffee
Akola,10,85,126,29.05,53.33,7.48,601.81,apple
Kolhapur,8,18,26,20.9,69.9,7.17,766.01,mothbeans
Jalgaon,59,10,46,28.6,51.19,6.33,709.5,watermelon
Ahmednagar,91,64,115,20.45,89.82,5.74,1025.71,coconut
Beed,96,46,69,23.48,44.19,7.15,924.42,muskmelon
Bhandara,23,130,67,28.9,60.94,6.34,148.34,lentil
Nagpur,100,68,135,20.79,43.45,7.45,964.48,orange
Amravati,63,27,39,22.71,52.32,7.15,317.87,rice
Nanded,107,65,76,24.29,65.88,6.12,1088.46,banana
Beed,137,102,126,28.02,84.49,5.63,112.6,pomegranate
Kolhapur,97,8,28,30.08,47.54,7.47,995.99,pigeonpeas
Akola,95,73,105,31.89,78.38,7.44,343.66,apple
Amravati,93,58,168,32.11,85.17,6.48,734.12,mothbeans
Akola,24,49,5,22.83,52.38,6.55,932.24,pigeonpeas
Ahmednagar,126,17,30,21.62,60.52,6.11,612.92,grapes
Aurangabad,13,83,126,32.34,71.87,6.37,134.54,chickpea
Akola,98,121,114,27.64,57.77,6.63,1144.73,pigeonpeas
Beed,25,60,74,25.47,44.86,6.1,762.97,banana
Pune,12,36,146,34.8,41.83,6.86,1007.96,chickpea
Satara,136,66,24,34.11,42.68,7.28,184.98,papaya
Sangli,14,72,162,27.13,77.1,6.46,1113.53,lentil
Amravati,43,135,83,29.02,65.75,7.06,1095.27,maize
Jalgaon,76,96,132,20.92,59.98,7.46,409.74,coffee
Satara,29,92,6,32.87,66.13,6.7,243.89,kidneybeans
Amravati,133,133,153,32.97,49.33,7.45,358.73,papaya
Amravati,77,6,74,26.08,55.1,6.92,1198.69,kidneybeans
Sangli,72,65,56,28.11,56.33,6.04,633.46,jute
Latur,69,109,81,25.3,65.21,6.72,228.33,maize
Nagpur,42,71,184,26.29,84.04,6.7,1172.05,mango
Latur,130,122,153,24.6,78.21,5.7,350.79,maize
Solapur,127,113,165,31.44,44.11,5.86,850.34,maize
Jalgaon,78,9,14,27.21,77.28,6.15,1031.58,pomegranate
Bhandara,38,34,56,31.03,89.06,5.81,444.86,jute
Solapur,4,94,107,22.1,83.66,7.0,120.91,mungbean
Nagpur,57,139,196,26.36,84.26,7.17,373.92,grapes
Parbhani,17,127,146,30.84,77.65,7.41,107.3,apple
Sangli,69,34,188,30.91,87.27,6.62,513.72,jute
Wardha,2,78,13,28.69,67.29,6.22,200.98,maize
Ahmednagar,74,11,120,30.01,89.27,5.83,449.36,maize
Latur,107,10,40,25.65,80.16,6.99,1024.04,rice
Akola,134,58,17,20.64,79.94,6.6,973.9,mungbean
Nashik,115,84,205,23.03,67.98,6.25,657.15,orange
Nanded,104,139,201,22.35,75.91,6.52,877.37,mango
Nashik,123,26,18,32.39,42.8,7.15,345.81,apple
Aurangabad,14,43,42,26.48,74.08,5.7,110.24,banana
Latur,61,119,152,33.27,56.9,5.77,797.9,muskmelon
Latur,1,49,89,22.86,77.53,5.76,656.5,apple
Amravati,18,8,198,32.15,42.03,5.64,828.3,muskmelon
Jalgaon,129,121,128,20.06,51.6,5.93,227.8,pigeonpeas
Parbhani,34,44,43,20.97,84.94,5.96,1034.29,chickpea
Parbhani,28,67,99,21.81,52.61,7.02,1139.14,grapes
Latur,135,126,30,30.4,75.62,7.28,366.1,lentil
Nanded,103,72,16,27.78,81.08,6.07,717.9,blackgram
Nagpur,11,11,7,27.4,41.1,5.82,684.77,mothbeans
Latur,112,127,97,23.99,78.96,5.74,866.29,papaya
Latur,60,86,84,26.84,41.1,5.92,1080.09,cotton
Jalgaon,102,54,148,27.88,59.02,6.78,351.3,lentil
Satara,85,37,107,22.88,47.44,7.21,252.35,cotton
Kolhapur,50,32,200,23.43,54.61,6.1,773.35,orange
Solapur,38,73,121,34.87,71.49,5.52,750.67,jute
Wardha,41,107,194,34.73,53.84,7.37,381.68,coffee
Satara,12,106,129,27.72,63.38,5.96,1068.73,mungbean
Nagpur,123,24,115,30.06,48.04,7.31,1175.67,blackgram
Amravati,52,32,204,22.52,60.55,6.84,500.84,watermelon
Nashik,16,16,83,32.33,53.37,7.11,318.32,muskmelon
Beed,13,72,101,22.66,81.94,7.2,942.34,kidneybeans
Nashik,121,39,65,20.48,57.86,5.66,1174.78,jute
Beed,120,49,46,29.62,85.51,6.34,638.43,mungbean
Jalgaon,73,104,127,26.51,62.28,6.48,501.88,kidneybeans
Parbhani,5,21,170,28.55,74.21,7.02,157.67,kidneybeans
Beed,62,71,166,31.65,66.05,5.68,294.46,rice
Beed,35,47,20,33.43,72.64,6.93,812.48,papaya
Bhandara,42,46,152,27.17,49.13,6.87,663.03,lentil
Amravati,102,25,160,34.24,77.19,6.68,160.83,lentil
Pune,8,39,25,21.95,78.92,6.97,726.82,pomegranate
Bhandara,34,52,78,20.89,40.79,5.87,575.6,maize
Wardha,51,127,13,28.57,53.2,6.59,1077.06,maize
Akola,83,136,202,27.84,57.57,7.43,194.26,mothbeans
Parbhani,91,142,75,28.0,70.71,6.4,618.55,apple
Solapur,47,119,5,26.93,66.68,6.54,452.05,cotton
Amravati,21,8,170,20.64,82.21,6.54,624.28,watermelon
Akola,78,16,6,28.41,54.12,6.6,1006.01,rice
Osmanabad,29,120,20,31.91,41.15,6.1,665.46,coconut
Nagpur,46,107,121,22.01,85.66,7.42,753.03,blackgram
Nagpur,11,30,201,30.94,67.66,6.83,771.08,jute
Amravati,126,48,99,30.41,79.07,6.65,710.28,mango
Aurangabad,47,93,104,27.43,48.47,6.09,261.19,banana
Amravati,81,41,65,20.32,74.24,6.29,741.96,watermelon
Sangli,27,34,31,22.32,51.35,7.22,1195.61,jute
Dhule,111,74,132,32.54,62.28,5.86,846.02,pigeonpeas
Satara,69,118,10,30.91,86.57,5.81,162.61,pomegranate
Kolhapur,51,128,90,20.54,81.68,6.68,781.87,blackgram
Nashik,75,95,185,34.8,61.19,6.08,794.54,coffee
Amravati,66,41,133,20.76,45.8,5.95,746.34,orange
Amravati,69,76,111,31.37,59.25,5.56,405.9,lentil
Nanded,105,101,11,30.94,64.27,5.56,900.56,jute
Pune,35,57,137,24.47,76.47,6.72,463.75,jute
Pune,102,111,144,26.71,71.17,5.87,541.56,coconut
Wardha,132,16,8,27.23,51.74,6.22,390.81,jute
Ahmednagar,91,43,41,30.07,45.89,6.77,499.13,mungbean
Jalgaon,68,105,101,27.7,85.87,7.02,1022.16,banana
Satara,132,124,120,25.58,50.98,6.76,475.15,apple
Aurangabad,10,104,99,23.61,55.26,5.8,977.43,apple
Wardha,46,63,33,34.48,86.82,7.07,484.1,rice
Dhule,92,61,204,33.77,77.09,6.15,676.51,jute
Bhandara,20,126,155,31.59,69.61,5.72,1160.09,chickpea
Aurangabad,21,64,201,28.72,56.33,7.13,978.79,coconut
Parbhani,84,79,103,22.44,74.67,6.63,989.6,mothbeans
Solapur,3,48,202,25.83,87.94,6.12,779.58,orange
Nagpur,104,105,55,26.26,72.03,5.69,426.47,mothbeans
Pune,60,66,191,21.88,88.64,7.22,1174.84,coconut
Nagpur,7,31,51,26.92,59.69,5.94,780.61,coffee
Nanded,3,31,49,31.36,73.22,6.51,261.01,pomegranate
Satara,134,131,119,30.94,41.95,7.48,163.75,mango
Beed,31,5,100,22.16,86.79,6.84,645.24,grapes
Parbhani,1,52,43,29.17,66.06,6.8,425.24,pomegranate
Nashik,111,55,154,24.18,79.35,5.8,829.03,coconut
Sangli,30,114,96,22.87,77.84,7.39,943.65,pomegranate
Aurangabad,48,107,153,27.16,49.55,7.31,382.33,coconut
Latur,120,90,44,22.28,54.53,6.75,1040.26,lentil
Akola,32,31,18,33.3,52.55,7.24,996.3,maize
Parbhani,97,54,5,32.87,76.14,7.23,681.41,coconut
Pune,93,121,43,31.19,54.96,6.48,981.04,blackgram
Nagpur,97,15,81,29.57,62.25,5.7,157.07,watermelon
Nagpur,133,67,11,34.42,82.81,6.14,145.47,mothbeans
Pune,9,122,151,28.9,75.55,7.22,436.58,mothbeans
Ahmednagar,35,133,153,23.47,46.59,7.05,641.47,banana
Aurangabad,63,91,197,25.81,62.74,6.41,519.8,papaya
Aurangabad,16,39,200,20.53,52.24,7.03,977.6,kidneybeans
Sangli,43,117,76,31.32,74.99,7.15,895.8,kidneybeans
Beed,113,68,86,34.7,67.63,5.88,953.36,coconut
Jalgaon,107,118,48,26.93,44.26,6.79,126.88,coconut
Pune,52,117,160,29.19,89.86,6.36,914.29,cotton
Satara,41,38,153,31.73,86.63,6.4,270.87,rice
Kolhapur,104,55,123,20.75,75.03,5.63,268.34,apple
Beed,90,130,79,22.05,45.88,7.09,941.86,coconut
Dhule,12,83,83,26.08,76.6,6.56,721.44,pigeonpeas
Wardha,113,6,189,34.71,84.02,7.32,751.19,coconut
Nashik,120,45,143,28.32,67.35,6.5,399.27,mungbean
Satara,34,49,159,24.9,76.79,6.09,365.35,watermelon
Parbhani,10,101,152,33.85,86.24,6.4,664.95,mango
Osmanabad,121,131,189,31.22,89.47,7.17,419.3,orange
Nagpur,90,42,151,28.71,70.02,6.97,756.7,banana
Dhule,60,8,86,20.16,85.39,5.88,292.23,blackgram
Satara,25,136,85,34.82,51.38,6.54,523.26,mothbeans
Wardha,130,15,176,23.08,40.9,5.79,823.01,mango
Nanded,73,108,118,29.24,67.95,6.24,447.54,chickpea
Nanded,24,16,189,21.34,59.52,5.98,810.07,cotton
Aurangabad,54,38,19,23.72,59.48,6.9,425.79,papaya
Pune,15,98,95,25.72,59.4,5.98,113.08,orange
Amravati,26,88,133,21.84,83.57,6.59,503.89,lentil
Nashik,86,63,37,29.13,71.85,6.77,964.66,watermelon
Kolhapur,34,8,118,20.82,72.03,6.75,990.61,kidneybeans
Nagpur,54,16,58,28.04,84.3,6.58,664.66,apple
Wardha,100,96,61,26.45,62.25,5.56,404.0,coconut
Kolhapur,107,7,61,22.49,79.49,6.14,898.0,muskmelon
Nashik,44,73,188,29.37,70.66,5.75,1141.58,mothbeans
Akola,85,135,9,25.89,65.87,6.06,780.4,watermelon
Aurangabad,63,107,170,28.71,73.89,6.38,638.74,apple
Nanded,98,124,153,31.42,42.38,6.89,186.56,grapes
Akola,73,68,17,32.13,53.28,5.61,797.16,apple
Bhandara,26,132,29,20.15,85.74,7.44,1139.12,mothbeans
Sangli,59,19,69,33.94,52.07,6.94,597.23,lentil
Beed,110,44,136,28.1,84.0,6.61,529.65,cotton
Pune,87,80,109,27.62,86.4,7.28,330.9,lentil
Sangli,78,145,130,26.73,67.59,7.49,494.98,pomegranate
Nanded,41,34,169,24.5,46.69,6.09,683.87,rice
Latur,120,76,191,20.63,84.91,6.92,438.14,pomegranate
Satara,103,21,44,23.01,52.08,5.95,897.26,jute
Parbhani,16,127,67,32.29,40.07,7.06,1128.43,muskmelon
Parbhani,136,17,100,25.35,53.67,7.29,1133.64,mungbean
Akola,116,100,34,28.39,78.52,6.11,985.5,mungbean
Sangli,28,122,49,32.97,48.12,6.7,393.58,chickpea
Akola,54,22,197,29.13,61.06,5.66,240.55,coffee
Wardha,129,15,145,28.76,83.78,5.66,1099.85,apple
Kolhapur,50,10,149,29.38,59.35,6.75,558.88,blackgram
Nagpur,76,39,152,34.86,67.97,6.77,113.57,mango
Aurangabad,4,107,49,30.8,64.11,5.92,464.58,coconut
Nagpur,100,98,99,21.99,85.6,5.76,903.9,orange
Ahmednagar,49,105,191,21.69,50.86,6.84,917.83,lentil
Nagpur,77,131,64,23.31,73.57,6.49,1184.53,jute
Ahmednagar,116,5,15,29.82,58.08,7.17,793.41,banana
Beed,42,61,15,29.28,78.44,5.83,524.37,blackgram
Satara,30,65,145,24.3,48.95,6.68,213.91,orange
Nanded,99,11,205,28.39,46.27,6.6,1019.68,mango
Satara,19,8,186,29.09,42.14,7.33,709.44,lentil
Pune,55,112,15,20.81,81.41,6.9,877.79,mungbean
Jalgaon,68,140,125,20.68,46.12,7.05,593.36,mothbeans
Kolhapur,130,90,86,31.03,50.2,6.03,814.85,watermelon
Sangli,15,89,92,23.38,68.19,7.14,276.21,chickpea
Parbhani,123,80,61,27.75,87.26,5.6,1133.46,coconut
Amravati,21,93,175,22.43,55.7,6.1,1089.01,blackgram
Ahmednagar,56,20,80,29.91,62.33,6.88,811.87,watermelon
Aurangabad,72,114,170,22.17,70.56,5.73,811.44,rice
Amravati,29,143,35,27.67,50.62,7.34,836.84,kidneybeans
Solapur,89,75,58,20.56,65.82,6.6,731.4,chickpea
Jalgaon,103,89,144,25.12,55.87,6.95,355.58,jute
Solapur,92,125,23,21.91,64.86,6.97,377.59,orange
Kolhapur,102,10,181,25.4,59.78,6.51,844.2,mothbeans
Amravati,105,108,81,34.41,82.97,6.41,690.66,mungbean
Parbhani,122,24,55,32.17,76.31,7.05,694.42,muskmelon
Aurangabad,82,78,124,29.65,50.27,5.97,577.21,orange
Satara,135,99,139,26.78,62.09,6.12,362.34,mango
Bhandara,94,69,82,33.28,48.14,7.38,313.52,jute
Osmanabad,65,127,7,30.01,55.75,7.2,105.71,orange
Kolhapur,132,15,45,30.03,56.3,5.96,504.49,mungbean
Nashik,108,42,47,30.69,64.11,7.16,200.08,orange
Parbhani,17,10,42,32.73,60.91,5.81,335.2,cotton
Akola,137,104,174,23.94,84.32,6.88,582.12,grapes
Nagpur,1,109,117,34.73,44.14,6.47,1178.5,coffee
Satara,78,72,68,23.8,74.37,7.21,116.21,orange
Satara,140,33,23,33.52,54.54,6.96,462.51,banana
Satara,19,73,186,25.34,50.85,7.08,275.78,kidneybeans
Nashik,117,118,52,33.83,65.46,6.85,898.69,cotton
Solapur,19,47,169,21.61,54.4,6.34,742.99,mungbean
Amravati,68,46,144,33.34,64.23,5.74,946.01,cotton
Sangli,6,26,55,31.91,59.66,5.95,266.64,blackgram
Ahmednagar,64,43,13,25.69,65.83,7.11,462.32,apple
Satara,88,23,83,24.53,44.98,6.33,313.27,jute
Amravati,123,53,109,20.41,81.29,5.67,118.01,muskmelon
Aurangabad,47,5,193,30.99,56.01,7.18,939.41,orange
Satara,7,145,49,29.28,53.25,7.35,700.5,blackgram
Jalgaon,109,54,52,29.05,86.82,6.75,346.92,papaya
Satara,137,129,159,27.09,47.03,6.75,579.59,muskmelon
Ahmednagar,55,71,8,34.31,75.26,6.32,287.83,coffee
Wardha,46,48,151,28.65,43.57,6.2,712.98,blackgram
Kolhapur,21,66,163,33.4,46.17,6.14,1127.5,orange
Wardha,30,110,61,33.23,85.69,6.19,581.6,pigeonpeas
Satara,21,111,194,20.71,73.72,5.75,984.71,jute
Beed,1,124,18,20.79,58.99,5.64,615.47,mothbeans
Pune,123,117,53,27.81,70.48,5.58,592.5,rice
Dhule,129,138,163,33.09,75.37,6.1,965.84,pomegranate
Solapur,6,86,31,27.33,58.58,7.24,917.93,muskmelon
Jalgaon,45,120,9,25.59,58.16,5.84,524.42,banana
Ahmednagar,71,59,96,22.35,85.56,6.5,1117.89,muskmelon
Solapur,102,54,95,31.38,51.0,5.84,675.67,papaya
Parbhani,27,5,79,28.27,46.62,6.93,736.15,coffee
Wardha,20,75,33,23.1,74.85,6.77,773.38,kidneybeans
Nagpur,112,55,197,28.04,83.37,6.03,303.03,watermelon
Solapur,11,44,195,24.04,77.91,5.77,1135.23,jute
Latur,35,88,67,23.9,73.75,6.21,884.84,mungbean
Wardha,78,41,85,30.08,87.34,6.27,881.35,apple
Jalgaon,99,69,87,21.48,53.63,7.11,631.94,blackgram
Aurangabad,110,108,191,32.48,48.99,6.09,618.47,cotton
Sangli,61,113,55,26.91,47.23,6.99,841.82,grapes
Latur,15,144,80,24.87,65.15,5.64,637.3,blackgram
Solapur,52,112,176,26.98,85.4,6.54,723.03,blackgram
Beed,119,145,48,21.23,42.12,7.41,687.37,muskmelon
Akola,86,51,195,28.97,56.22,6.32,994.92,coconut
Satara,103,94,200,24.03,64.56,6.38,1020.5,jute
Akola,72,27,67,28.57,86.93,7.01,309.25,cotton
Jalgaon,119,117,116,20.37,87.12,7.01,295.0,chickpea
Akola,108,10,89,33.97,58.08,6.23,281.38,mothbeans
Nanded,45,96,107,27.01,55.88,6.22,556.93,jute
Jalgaon,67,87,35,34.13,43.18,7.42,759.59,jute
Solapur,112,140,11,28.5,52.97,6.56,1020.69,maize
Satara,88,97,205,23.73,41.53,5.65,403.14,orange
Bhandara,10,123,46,30.67,58.19,6.4,989.11,papaya
Jalgaon,121,67,145,27.23,46.53,6.08,568.51,mothbeans
Amravati,78,40,98,24.38,47.71,6.16,855.42,watermelon
Akola,96,82,175,29.08,81.37,6.52,771.39,grapes
Nagpur,27,100,159,31.46,74.41,6.66,614.41,coconut
Jalgaon,21,106,71,28.4,63.05,6.4,703.09,muskmelon
Solapur,109,108,20,32.8,84.96,6.93,510.81,mothbeans
Osmanabad,79,143,135,26.16,78.12,6.43,373.48,mungbean
Ahmednagar,120,134,94,29.06,87.69,6.62,161.17,mungbean
Aurangabad,45,37,30,21.17,44.41,5.54,219.02,blackgram
Ahmednagar,28,135,154,21.11,62.36,5.81,940.8,muskmelon
Bhandara,129,103,161,24.69,41.24,7.2,226.29,rice
Akola,68,74,66,26.0,73.21,6.83,234.77,lentil
Dhule,125,142,125,31.18,75.1,5.95,767.98,grapes
Sangli,0,54,38,34.95,82.9,7.25,256.62,mothbeans
Osmanabad,17,67,191,20.27,72.56,6.49,1116.69,rice
Ahmednagar,23,23,72,22.1,84.6,6.36,1165.29,watermelon
Dhule,39,60,61,31.32,67.15,6.99,553.31,cotton
Nanded,103,27,111,34.61,65.52,5.96,360.2,orange
Amravati,114,42,17,26.37,57.32,6.49,290.69,coffee
Satara,140,14,168,25.04,61.4,6.8,655.26,kidneybeans
Nagpur,35,45,14,25.53,74.33,5.94,237.11,pigeonpeas
Aurangabad,128,6,128,28.93,85.73,5.79,325.34,maize
Beed,97,65,65,33.61,57.01,7.15,313.02,grapes
Akola,124,143,189,30.32,48.33,6.21,316.5,coffee
Aurangabad,21,49,110,20.89,82.59,7.4,890.55,rice
Nashik,57,50,17,28.65,86.93,6.01,425.01,watermelon
Dhule,99,70,7,33.94,66.59,6.18,125.11,maize
Bhandara,84,115,130,28.22,58.52,6.21,516.46,watermelon
Pune,22,60,183,34.44,81.06,5.72,125.27,coconut
Sangli,138,65,13,24.4,67.52,6.38,766.81,chickpea
Dhule,113,142,140,30.09,80.22,7.07,599.48,papaya
Ahmednagar,95,114,197,24.01,47.27,5.55,193.1,grapes
Jalgaon,66,128,85,26.83,70.34,6.94,359.73,muskmelon
Solapur,116,62,23,29.93,43.39,7.38,353.9,cotton
Akola,3,79,139,29.83,42.55,7.12,781.94,mothbeans
Kolhapur,129,136,84,28.05,57.74,6.89,1093.16,pomegranate
Akola,54,39,168,25.05,75.08,7.25,212.23,papaya
Dhule,93,86,76,29.14,50.17,6.47,1038.27,mango
Jalgaon,139,46,91,34.09,43.58,6.52,975.0,watermelon
Nashik,89,114,26,23.65,60.95,5.95,224.85,orange
Pune,131,65,177,34.77,53.7,6.75,615.4,mothbeans
Latur,127,84,129,21.8,84.07,7.22,364.79,coconut
Beed,103,16,168,23.8,67.87,6.4,642.06,mango
Beed,115,104,140,21.13,69.33,7.48,794.85,jute
Akola,127,85,32,34.04,66.65,5.85,467.7,watermelon
Dhule,32,35,51,23.39,70.93,5.9,297.87,coconut
Pune,127,138,169,21.8,61.5,6.38,764.2,coconut
Osmanabad,101,91,70,20.19,45.0,5.99,159.5,mothbeans
Akola,15,78,121,23.15,47.25,6.37,355.16,watermelon
Jalgaon,134,7,106,29.94,67.92,6.86,893.42,cotton
Dhule,4,105,110,27.35,42.77,5.91,933.22,blackgram
Sangli,100,145,163,23.82,66.27,5.81,1102.22,coffee
Beed,69,92,90,34.07,44.82,7.46,838.21,lentil
Nanded,46,35,94,31.08,75.52,5.7,315.64,kidneybeans
Ahmednagar,71,115,20,29.41,76.91,5.84,843.22,orange
Jalgaon,82,130,204,27.14,48.48,5.57,738.75,grapes
Solapur,33,45,114,29.39,66.68,7.09,455.93,mothbeans
Solapur,119,21,193,31.73,80.37,5.94,481.74,papaya
Latur,23,23,176,28.81,89.55,7.25,220.6,watermelon
Aurangabad,53,50,196,20.74,72.31,7.0,1095.05,jute
Amravati,44,26,126,30.7,74.87,6.46,157.58,watermelon
Bhandara,70,97,193,34.7,40.23,7.05,1150.3,rice
Solapur,39,121,19,22.13,85.59,6.99,450.03,blackgram
Dhule,42,118,50,24.45,59.36,6.47,276.39,jute
Nagpur,83,75,183,30.17,59.89,5.78,760.41,cotton
Nanded,13,77,162,27.47,47.97,5.56,447.44,rice
Nanded,39,140,152,25.25,65.66,5.97,337.49,pomegranate
Akola,35,5,36,30.02,83.84,5.63,406.24,rice
Akola,62,15,153,31.08,76.43,6.46,416.54,apple
Nagpur,13,61,50,25.49,71.76,6.04,915.58,apple
Nashik,110,7,97,27.71,76.86,5.64,1071.37,papaya
Wardha,49,111,154,23.05,40.84,6.41,989.66,orange
Latur,38,44,39,31.31,79.52,6.05,692.87,pigeonpeas
Nashik,51,107,7,31.76,58.48,7.44,1107.88,mango
Wardha,104,51,18,27.39,87.8,6.83,531.32,cotton
Sangli,93,120,5,20.33,71.99,5.84,204.78,grapes
